Date,FY0,FY+1,FY+2,FY+3,FY+4,FY0,FY+1,FY+2,FY+3,FY+4,IQ_PAYOUT_RATIO
36526,0.12453,0.1418,0.16875,0.23882,NA,NA,NA,NA,NA,NA,101.902
36527,0.12453,0.14201,0.17048,0.24696,NA,NA,NA,NA,NA,NA,101.902
36528,0.12453,0.14201,0.17048,0.24696,NA,NA,NA,NA,NA,NA,101.902
36529,0.12453,0.14201,0.17048,0.24696,NA,NA,NA,NA,NA,NA,101.902
36530,0.12453,0.14201,0.17048,0.24696,NA,NA,NA,NA,NA,NA,101.902
36531,0.12453,0.14201,0.17048,0.24696,NA,NA,NA,NA,NA,NA,101.902
36532,0.12453,0.14201,0.17048,0.24696,NA,NA,NA,NA,NA,NA,101.902
36533,0.12453,0.14201,0.17048,0.24696,NA,NA,NA,NA,NA,NA,101.902
36534,0.12453,0.1461,0.17048,0.24696,NA,NA,NA,NA,NA,NA,101.902
36535,0.12345,0.14597,0.17151,0.24696,NA,NA,NA,NA,NA,NA,101.902
36536,0.12345,0.14597,0.17151,0.24696,NA,NA,NA,NA,NA,NA,101.902
36537,0.12345,0.14597,0.17151,0.24696,NA,NA,NA,NA,NA,NA,101.902
36538,0.12345,0.14597,0.17151,0.24696,NA,NA,NA,NA,NA,NA,101.902
36539,0.12345,0.14597,0.17151,0.24696,NA,NA,NA,NA,NA,NA,101.902
36540,0.12345,0.14597,0.17151,0.24696,NA,NA,NA,NA,NA,NA,101.902
36541,0.12345,0.14099,0.16514,0.224,NA,NA,NA,NA,NA,NA,101.902
36542,0.12345,0.14099,0.16514,0.224,NA,NA,NA,NA,NA,NA,101.902
36543,0.12345,0.14099,0.16514,0.224,NA,NA,NA,NA,NA,NA,101.902
36544,0.12345,0.14099,0.16514,0.224,NA,NA,NA,NA,NA,NA,101.902
36545,0.12273,0.14129,0.16661,0.224,NA,NA,NA,NA,NA,NA,101.902
36546,0.12273,0.14129,0.16661,0.224,NA,NA,NA,NA,NA,NA,101.902
36547,0.12273,0.14129,0.16661,0.224,NA,NA,NA,NA,NA,NA,101.902
36548,0.12273,0.14678,0.16661,0.224,NA,NA,NA,NA,NA,NA,101.902
36549,0.12273,0.14585,0.17043,0.22892,NA,NA,NA,NA,NA,NA,101.902
36550,0.12273,0.14585,0.17043,0.22892,NA,NA,NA,NA,NA,NA,101.902
36551,0.12273,0.14585,0.17043,0.22892,NA,NA,NA,NA,NA,NA,101.902
